Case	Pc	Pm	#Ind	Hacer CHC
1	0.6	0.01	50	SI
2	0.6	0.01	100	SI
3	0.6	0.01	200	SI

4	0.7	0.01	50	SI
5	0.8	0.01	50	SI
6	0.6	0.05	50 	NO(1)
7	0.7	0.05	50	NO(4)
8	0.8	0.05	50	NO(5)
9	0.6	0.1	50	NO(1)
10	0.7	0.1	50	NO(4)
11	0.8	0.1	50	NO(5)

12	0.7	0.01	100	SI
13	0.8	0.01	100	SI
14	0.6	0.05	100	NO(2)
15	0.7	0.05	100	NO(12)
16	0.8	0.05	100	NO(13)
17	0.6	0.1	100	NO(2)
18	0.7	0.1	100	NO(12)
19	0.8	0.1	100	NO(13)

20	0.7	0.01	200	SI
21	0.8	0.01	200	SI
22	0.6	0.05	200	NO(3)	
23	0.7	0.05	200	NO(20)
24	0.8	0.05	200	NO(21)
25	0.6	0.1	200	NO(3)
26	0.7	0.1	200	NO(20)
27	0.8	0.1	200	NO(21)
